ukprn,provider,postcode,lad_code,lad_name,msoa_code,lsoa_code,region,ttwa_code,ttwa_name,year,rent_all,rent_2bed,house_price,ttwa_rent,ttwa_hp,nat_rent_all,nat_house_price,cpih,cost_index_rent,cost_index_hp,infl_factor,rent_factor,hp_factor,rent_factor_ttwa,hp_factor_ttwa,real_value_cpih_gbp,real_value_rent_gbp,real_value_hp_gbp,real_value_rent_ttwa_gbp,real_value_hp_ttwa_gbp
10007154,University of Nottingham,NG7 2RD,E06000018,Nottingham,E02007082,E01035507,East Midlands,E30000249,Nottingham,2021,723.1666666666666,655.5,165417,700.6026565581853,198945.6061082347,1084.1666666666667,257885.25,111.60833333333333,0.6670253651037662,0.6414364528409437,0.9754349286940939,0.8332565107167551,0.8994913864153422,0.8656121221384727,0.7177552348266615,4877,4166,4497,4328,3589
10007154,University of Nottingham,NG7 2RD,E06000018,Nottingham,E02007082,E01035507,East Midlands,E30000249,Nottingham,2022,778,701.5,183931.25,744.1599790433925,219703.75767381658,1129.25,281827.6666666667,120.45,0.6889528448085012,0.6526373090884146,0.9038328490383284,0.7745287060839761,0.8089499020240805,0.8149459382359769,0.6499399543359113,4519,3873,4045,4075,3250
10007154,University of Nottingham,NG7 2RD,E06000018,Nottingham,E02007082,E01035507,East Midlands,E30000249,Nottingham,2023,836.6666666666666,752.5,190300.41666666666,795.7263621794872,226036.00866000986,1210.4166666666667,282333.5,128.63333333333333,0.691222030981067,0.6740270519320827,0.8463332469551698,0.7202191235059762,0.7818751491610852,0.7621340465057875,0.6317323114864024,4232,3601,3909,3811,3159
10007154,University of Nottingham,NG7 2RD,E06000018,Nottingham,E02007082,E01035507,East Midlands,E30000249,Nottingham,2024,916.0833333333334,824.3333333333334,189445.66666666666,863.8125308185405,225274.47177021694,1316.0833333333333,282734.5,132.84166666666667,0.6960678781738746,0.67004793071474,0.819521987328273,0.657782225052306,0.7854028507733968,0.7020622307302211,0.6338678728568969,4098,3289,3927,3510,3169
10007154,University of Nottingham,NG7 2RD,E06000018,Nottingham,E02007082,E01035507,East Midlands,E30000249,Nottingham,2025,981.3333333333334,885,192955.83333333334,924.963849852071,232515.66219797832,1399.8333333333333,289432.0833333333,138,0.7010358375997143,0.6666705056022068,0.7888888888888889,0.6140455163043479,0.7711151515675002,0.6556474098054444,0.6141274479323658,3944,3070,3856,3278,3071
10007154,University of Nottingham,NG7 2RD,E06000018,Nottingham,E02007082,E01035507,East Midlands,E30000249,Nottingham,2026,1006,907.8,192911.5,946.282322485207,233736.17732988167,1433.4,290340.25,140.82,0.7018278219617692,0.66443250634385,0.7730909435212802,0.5989893969516237,0.7712923629056155,0.6408765522814285,0.6109206193973857,3865,2995,3856,3204,3055
10007155,University of Portsmouth,PO1 2UP,E06000044,Portsmouth,E02003541,E01017132,South East,E30000254,Portsmouth,2020,972.5833333333334,806.5,213137.25,917.2343605404404,254183.4092633722,1070.5,239383.33333333334,108.86666666666666,0.9085318387046551,0.8903596045394416,1,0.6195698740467827,0.6981002460464637,0.6611725186154802,0.5617764379027279,5000,3098,3491,3306,2809
10007155,University of Portsmouth,PO1 2UP,E06000044,Portsmouth,E02003541,E01017132,South East,E30000254,Portsmouth,2021,990.4166666666666,820.1666666666666,225951,935.8819174532666,270838.2042383861,1084.1666666666667,257885.25,111.60833333333333,0.9135280553420445,0.876168761105957,0.9754349286940939,0.6084139671855281,0.6585107685589648,0.6479985786769574,0.5272308263581011,4877,3042,3293,3240,2636
10007155,University of Portsmouth,PO1 2UP,E06000044,Portsmouth,E02003541,E01017132,South East,E30000254,Portsmouth,2022,1038.3333333333333,856,248588.41666666666,981.6673607255229,297245.28502683697,1129.25,281827.6666666667,120.45,0.91948933658032606,0.8820582436311551,0.9038328490383284,0.5803370786516855,0.5985442469999775,0.6177756097248379,0.4803919773430762,4519,2902,2993,3089,2402
10007155,University of Portsmouth,PO1 2UP,E06000044,Portsmouth,E02003541,E01017132,South East,E30000254,Portsmouth,2023,1152.6666666666667,947.5833333333334,252667.83333333334,1059.4169905607996,299648.28238941333,1210.4166666666667,282333.5,128.63333333333333,0.952289156626506,0.8949268624989005,0.8463332469551698,0.5227732793522267,0.5888805262772533,0.5724376310013299,0.4765395252437244,4232,2614,2944,2862,2383
10007155,University of Portsmouth,PO1 2UP,E06000044,Portsmouth,E02003541,E01017132,South East,E30000254,Portsmouth,2024,1276.9166666666667,1052.4166666666667,246731.41666666666,1158.1979455857856,292719.32893762726,1316.0833333333333,282734.5,132.84166666666667,0.9702399797378587,0.8726611597334837,0.819521987328273,0.4719049794426679,0.6030491320352731,0.5236152892780829,0.4878196829303853,4098,2360,3015,2618,2439
